instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"SYLVESTER, BRYANNA",3.6,3.4,390,62%,https://www.ratemyprofessors.com/professor/1634616,Chemistry,"TEST HEAVY, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, TOUGH GRADER, LOTS OF HOMEWORK, HILARIOUS, CARING"
"FINKELSTEIN, RUTH",2.0,4.5,111,7%,https://www.ratemyprofessors.com/professor/168264,Biology,"TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, GRADED BY FEW THINGS, GET READY TO READ, HILARIOUS"
"GONZALES SMITH, MYRIAM",3.2,3.1,58,50%,https://www.ratemyprofessors.com/professor/857625,Languages,"GROUP PROJECTS, CARING, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, TOUGH GRADER"
"YANG, FENGRUI",1.3,4.2,24,8%,https://www.ratemyprofessors.com/professor/3042220,Mathematics,"GRADED BY FEW THINGS, TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, EXTRA CREDIT"
"RUTHERFORD, KEVIN",4.4,2.1,23,82%,https://www.ratemyprofessors.com/professor/2586194,Writing,"CARING, GROUP PROJECTS, GIVES GOOD FEEDBACK, CLEAR GRADING CRITERIA, INSPIRATIONAL, HILARIOUS, PARTICIPATION MATTERS, ONLINE SAVVY"
"GERMAN, ELAINE",4.6,1.5,14,100%,https://www.ratemyprofessors.com/professor/623673,Psychology,"HILARIOUS, AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL, CARING, LECTURE HEAVY"
"WINK, MATTHIAS",3.2,3.3,12,58%,https://www.ratemyprofessors.com/professor/3083884,Mathematics,"TEST HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, CLEAR GRADING CRITERIA, LECTURE HEAVY, CARING, ACCESSIBLE OUTSIDE CLASS"
"RUSSELL, NADINE",2.4,3.6,10,20%,https://www.ratemyprofessors.com/professor/3085429,Economics,"BEWARE OF POP QUIZZES, GET READY TO READ, PARTICIPATION MATTERS, TEST HEAVY, GRADED BY FEW THINGS, LECTURE HEAVY, AMAZING LECTURES, TOUGH GRADER"
"SAKR, LAILA",3.0,2.3,3,33%,https://www.ratemyprofessors.com/professor/2678292,Film,"GET READY TO READ, PARTICIPATION MATTERS, GROUP PROJECTS, BEWARE OF POP QUIZZES, GRADED BY FEW THINGS"
"KHARITONOVA, YEKATERINA KATE",2.5,3.6,185,34%,https://www.ratemyprofessors.com/professor/2450605,Computer Science,"LOTS OF HOMEWORK, TOUGH GRADER, CARING, PARTICIPATION MATTERS, BEWARE OF POP QUIZZES, GROUP PROJECTS, LECTURE HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES"
"HARTMAN, JOHN",2.1,3.8,183,24%,https://www.ratemyprofessors.com/professor/1112610,Economics,"TEST HEAVY, TOUGH GRADER, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, LECTURE HEAVY, LOTS OF HOMEWORK"
"WROBEL, ALEX",4.8,2.5,101,93%,https://www.ratemyprofessors.com/professor/2777126,Science,"AMAZING LECTURES, CARING, CLEAR GRADING CRITERIA, HILARIOUS, LECTURE HEAVY, INSPIRATIONAL, TOUGH GRADER, GRADED BY FEW THINGS, GIVES GOOD FEEDBACK"
"FULKERSON, SCOTT",4.3,3.9,73,84%,https://www.ratemyprofessors.com/professor/2346208,Economics,"TEST HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, RESPECTED, CARING, GROUP PROJECTS, HILARIOUS, GRADED BY FEW THINGS"
"WHITE, JEREMY",3.7,2.9,70,67%,https://www.ratemyprofessors.com/professor/895623,Art History,"GET READY TO READ, LECTURE HEAVY, SKIP CLASS? YOU WON'T PASS., EXTRA CREDIT, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, BEWARE OF POP QUIZZES, TEST HEAVY, GROUP PROJECTS"
"BERNSTEIN, HILARY",4.0,3.2,57,63%,https://www.ratemyprofessors.com/professor/543961,History,"GET READY TO READ, TOUGH GRADER, PARTICIPATION MATTERS, SO MANY PAPERS, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, LECTURE HEAVY, AMAZING LECTURES"
"BENZARTI, YOUSSEF",4.5,2.4,40,87%,https://www.ratemyprofessors.com/professor/2622730,Economics,"CLEAR GRADING CRITERIA, AMAZING LECTURES, RESPECTED, CARING, TEST HEAVY, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, ONLINE SAVVY, GRADED BY FEW THINGS"
"KURIS, ARMAND",4.3,3.8,36,66%,https://www.ratemyprofessors.com/professor/346672,Biology,"TEST HEAVY, GRADED BY FEW THINGS, RESPECTED, TOUGH GRADER, AMAZING LECTURES, LECTURE HEAVY, INSPIRATIONAL, HILARIOUS"
"WARWICK, NICOLE",4.7,2.1,33,92%,https://www.ratemyprofessors.com/professor/1886356,Writing,"GIVES GOOD FEEDBACK, CARING, CLEAR GRADING CRITERIA, INSPIRATIONAL, PARTICIPATION MATTERS, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, GROUP PROJECTS"
"MIESCHER, STEPHAN",3.4,2.8,23,69%,https://www.ratemyprofessors.com/professor/804774,History,"GET READY TO READ, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., EXTRA CREDIT, CARING, BEWARE OF POP QUIZZES, LECTURE HEAVY, GIVES GOOD FEEDBACK, ACCESSIBLE OUTSIDE CLASS"
"GARCIA DAHAN, LETTY",4.7,1.9,14,100%,https://www.ratemyprofessors.com/professor/3015202,Theater,"CARING, GET READY TO READ, HILARIOUS, EXTRA CREDIT, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, PARTICIPATION MATTERS"
"PAREDES-RIVERA, CARINA",4.9,2.4,12,100%,https://www.ratemyprofessors.com/professor/2723094,Spanish,"PARTICIPATION MATTERS, CARING, LOTS OF HOMEWORK, GIVES GOOD FEEDBACK, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, GROUP PROJECTS"
"ANYIKA, MERCY",3.0,4.0,123,53%,https://www.ratemyprofessors.com/professor/2748603,Chemistry,"TEST HEAVY, TOUGH GRADER, HILARIOUS, LECTURE HEAVY, GET READY TO READ"
"BLAKE, FELICE",4.3,2.9,51,84%,https://www.ratemyprofessors.com/professor/1259723,English,"GET READY TO READ, BEWARE OF POP QUIZZES, INSPIRATIONAL, AMAZING LECTURES, RESPECTED, LECTURE HEAVY, GRADED BY FEW THINGS, PARTICIPATION MATTERS, GROUP PROJECTS"
"LANUZA, YADER",3.4,2.0,27,62%,https://www.ratemyprofessors.com/professor/2796649,Sociology,"GROUP PROJECTS, LECTURE HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, GRADED BY FEW THINGS, HILARIOUS, BEWARE OF POP QUIZZES"
"CASTILLO-MUNOZ, VERONICA",2.4,2.9,20,50%,https://www.ratemyprofessors.com/professor/1731161,History,"GET READY TO READ, CARING, EXTRA CREDIT, AMAZING LECTURES, GIVES GOOD FEEDBACK, CLEAR GRADING CRITERIA, GROUP PROJECTS, SO MANY PAPERS"
"TOBER, TARA",4.6,2.2,126,92%,https://www.ratemyprofessors.com/professor/2351706,Sociology,"AMAZING LECTURES, GET READY TO READ, CARING, CLEAR GRADING CRITERIA, RESPECTED, GROUP PROJECTS, GRADED BY FEW THINGS, TEST HEAVY, ACCESSIBLE OUTSIDE CLASS, LECTURE HEAVY, LOTS OF HOMEWORK"
"BLOOM, PETER",2.5,3.8,32,15%,https://www.ratemyprofessors.com/professor/428139,Film,"GET READY TO READ, LOTS OF HOMEWORK, SO MANY PAPERS, TOUGH GRADER, PARTICIPATION MATTERS, GROUP PROJECTS, LECTURE HEAVY"
"VENEGAS, CHRISTINA",2.4,3.3,25,8%,https://www.ratemyprofessors.com/professor/547776,Film,"LECTURE HEAVY, GET READY TO READ, LOTS OF HOMEWORK, TOUGH GRADER, PARTICIPATION MATTERS, RESPECTED, SO MANY PAPERS"
"BOSWELL, ALICIA",2.9,3.3,23,39%,https://www.ratemyprofessors.com/professor/2572177,Art,"CLEAR GRADING CRITERIA, GET READY TO READ, EXTRA CREDIT, LECTURE HEAVY, TOUGH GRADER, LOTS OF HOMEWORK, SO MANY PAPERS, PARTICIPATION MATTERS, TEST HEAVY"
"VERTIZ, VICKIE",4.3,2.2,10,80%,https://www.ratemyprofessors.com/professor/2602685,Chicano Studies,"GIVES GOOD FEEDBACK, CARING, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS, GET READY TO READ, PARTICIPATION MATTERS, EXTRA CREDIT"
"PIMIENTA, OMAR",5.0,3.6,5,100%,https://www.ratemyprofessors.com/professor/3018042,Spanish & Portuguese,"AMAZING LECTURES, HILARIOUS, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, GROUP PROJECTS, RESPECTED, INSPIRATIONAL"
"HILTNER, KENNETH (KEN)",3.7,2.7,352,65%,https://www.ratemyprofessors.com/professor/932951,English,"GET READY TO READ, LECTURE HEAVY, INSPIRATIONAL, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, CARING, RESPECTED, TOUGH GRADER, TEST HEAVY"
"SEIKALY , SHERENE ",4.4,3.5,29,90%,https://www.ratemyprofessors.com/professor/2022780,History,"GET READY TO READ, AMAZING LECTURES, RESPECTED, GIVES GOOD FEEDBACK, INSPIRATIONAL, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, ACCESSIBLE OUTSIDE CLASS"
"BAKER, ANDREW",3.8,2.6,23,69%,https://www.ratemyprofessors.com/professor/2343293,Linguistics,"GIVES GOOD FEEDBACK, RESPECTED, TOUGH GRADER, CARING, EXTRA CREDIT, HILARIOUS, GROUP PROJECTS, LOTS OF HOMEWORK, GRADED BY FEW THINGS"
"ZACKRISON, ERIC",3.1,3.1,18,61%,https://www.ratemyprofessors.com/professor/2445003,Business,"GROUP PROJECTS, TOUGH GRADER, LOTS OF HOMEWORK, PARTICIPATION MATTERS, AMAZING LECTURES, CLEAR GRADING CRITERIA, CARING, ACCESSIBLE OUTSIDE CLASS"
"SEGURA, NATHAN",5.0,2.9,7,100%,https://www.ratemyprofessors.com/professor/2813586,Art,"PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, HILARIOUS, AMAZING LECTURES, GET READY TO READ, LOTS OF HOMEWORK, INSPIRATIONAL, CARING"
"BRUSUTTI, ANNA",3.1,2.9,183,44%,https://www.ratemyprofessors.com/professor/268051,Film,"GET READY TO READ, LECTURE HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, SO MANY PAPERS, GIVES GOOD FEEDBACK, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, RESPECTED, CARING, INSPIRATIONAL"
"ALAGONA, PETER",4.5,2.5,119,88%,https://www.ratemyprofessors.com/professor/1701804,History,"AMAZING LECTURES, GET READY TO READ, INSPIRATIONAL, RESPECTED, CARING, PARTICIPATION MATTERS, EXTRA CREDIT, ACCESSIBLE OUTSIDE CLASS"
"MAJEDI, MARYAM",2.6,4.0,112,43%,https://www.ratemyprofessors.com/professor/2938378,Computer Science,"TOUGH GRADER, PARTICIPATION MATTERS, TEST HEAVY, ACCESSIBLE OUTSIDE CLASS, CARING"
"WELTER, VOLKER",3.8,3.0,63,66%,https://www.ratemyprofessors.com/professor/463145,Architecture,"TOUGH GRADER, LECTURE HEAVY, GET READY TO READ, CLEAR GRADING CRITERIA, AMAZING LECTURES, PARTICIPATION MATTERS"
"TRUGMAN, ANNA",4.0,2.8,16,68%,https://www.ratemyprofessors.com/professor/2641665,Geography,"CLEAR GRADING CRITERIA, CARING, PARTICIPATION MATTERS, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, GROUP PROJECTS, LOTS OF HOMEWORK, TEST HEAVY"
"STEVENS, HANNAH",3.1,2.6,10,50%,https://www.ratemyprofessors.com/professor/3129627,Communication,"TOUGH GRADER, PARTICIPATION MATTERS, LECTURE HEAVY, GIVES GOOD FEEDBACK, GET READY TO READ, AMAZING LECTURES, TEST HEAVY, GRADED BY FEW THINGS"
"CORONA, ANDREEA",1.0,5.0,1,N/A,https://www.ratemyprofessors.com/professor/3159556,Linguistics,LOTS OF HOMEWORK
"NYEU , MAUNG ",5.0,1.0,1,100%,https://www.ratemyprofessors.com/professor/3158663,Education,"GROUP PROJECTS, AMAZING LECTURES, CLEAR GRADING CRITERIA"
"JOSEPH, CRISJOE",4.2,3.7,388,82%,https://www.ratemyprofessors.com/professor/1829388,Chemistry,"TEST HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, LOTS OF HOMEWORK, GRADED BY FEW THINGS, EXTRA CREDIT, PARTICIPATION MATTERS, INSPIRATIONAL"
"SMITH, STUART",2.8,3.1,131,56%,https://www.ratemyprofessors.com/professor/349755,Anthropology,"GROUP PROJECTS, GET READY TO READ, EXTRA CREDIT, SO MANY PAPERS, PARTICIPATION MATTERS, INSPIRATIONAL, AMAZING LECTURES, LECTURE HEAVY, CLEAR GRADING CRITERIA"
"YU, HONGBO",3.8,2.7,33,69%,https://www.ratemyprofessors.com/professor/2668256,Psychology,"GET READY TO READ, CARING, LECTURE HEAVY, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, EXTRA CREDIT, GIVES GOOD FEEDBACK, RESPECTED, AMAZING LECTURES, TEST HEAVY"
"LAM, KELVIN",3.1,2.7,17,58%,https://www.ratemyprofessors.com/professor/3061230,Mathematics,"CLEAR GRADING CRITERIA, LECTURE HEAVY, LOTS OF HOMEWORK, CARING, TEST HEAVY, RESPECTED, GRADED BY FEW THINGS, ONLINE SAVVY"
"KEUM, TAE-YEOUN",4.1,3.5,12,66%,https://www.ratemyprofessors.com/professor/2681300,Political Science,"GET READY TO READ, AMAZING LECTURES, CARING, PARTICIPATION MATTERS, TOUGH GRADER, GRADED BY FEW THINGS, INSPIRATIONAL, RESPECTED"
"SHAY, JACKIE",5.0,1.9,11,100%,https://www.ratemyprofessors.com/professor/3021688,Biology,"CARING, INSPIRATIONAL, AMAZING LECTURES, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, HILARIOUS"
"MCCAULEY, DOUGLAS",4.8,2.0,4,100%,https://www.ratemyprofessors.com/professor/2610280,Biology,"AMAZING LECTURES, LECTURE HEAVY, PARTICIPATION MATTERS, GROUP PROJECTS, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, CARING"
"BRADY, SARAH",1.8,2.3,4,25%,https://www.ratemyprofessors.com/professor/2772528,Art,"GET READY TO READ, LECTURE HEAVY"
"ARMSTEAD, SHAUN",5.0,3.0,1,100%,https://www.ratemyprofessors.com/professor/3079768,History,"GET READY TO READ, PARTICIPATION MATTERS"
"PORTER, MATT",4.4,2.5,310,86%,https://www.ratemyprofessors.com/professor/1857546,Mathematics,"CLEAR GRADING CRITERIA, LOTS OF HOMEWORK, CARING, AMAZING LECTURES, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, LECTURE HEAVY"
"SCHLEY, NATHAN",2.5,3.3,132,40%,https://www.ratemyprofessors.com/professor/1984011,Mathematics,"LOTS OF HOMEWORK, EXTRA CREDIT, CARING, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, PARTICIPATION MATTERS, GRADED BY FEW THINGS, HILARIOUS, BEWARE OF POP QUIZZES"
"NABI, ROBIN",3.6,4.0,58,53%,https://www.ratemyprofessors.com/professor/600908,Communication,"TOUGH GRADER, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, AMAZING LECTURES, LECTURE HEAVY, RESPECTED, CLEAR GRADING CRITERIA, CARING"
"REID, SCOTT",3.6,3.6,58,57%,https://www.ratemyprofessors.com/professor/931361,Communication,"LECTURE HEAVY, AMAZING LECTURES, TOUGH GRADER, RESPECTED, SKIP CLASS? YOU WON'T PASS., GET READY TO READ, HILARIOUS, GRADED BY FEW THINGS, TEST HEAVY"
"LANG, MATTHEW",3.6,3.0,33,63%,https://www.ratemyprofessors.com/professor/3081750,Economics,"TEST HEAVY, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, INSPIRATIONAL, CARING, PARTICIPATION MATTERS, HILARIOUS"
"SOBOTKA, TAGART",3.4,3.1,23,59%,https://www.ratemyprofessors.com/professor/2946451,Sociology,"GROUP PROJECTS, GET READY TO READ, TOUGH GRADER, PARTICIPATION MATTERS, AMAZING LECTURES, LECTURE HEAVY, CARING, ACCESSIBLE OUTSIDE CLASS"
"GUTIÉRREZ-MAGALLANES, DR. COCO",2.0,1.8,15,26%,https://www.ratemyprofessors.com/professor/2896190,Feminist Studies,"PARTICIPATION MATTERS, CARING, EXTRA CREDIT, HILARIOUS, GET READY TO READ, GROUP PROJECTS, GRADED BY FEW THINGS"
"DING, QINGHUA",4.2,1.8,10,70%,https://www.ratemyprofessors.com/professor/2354857,Geography,"CARING, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA"
"BENELLI, CINDY",2.7,2.9,220,36%,https://www.ratemyprofessors.com/professor/1031087,Economics,"CARING, GRADED BY FEW THINGS, TEST HEAVY, TOUGH GRADER, GET READY TO READ, AMAZING LECTURES, HILARIOUS"
"ABRA, GORDON ",3.9,3.5,91,75%,https://www.ratemyprofessors.com/professor/1954380,Sociology,"AMAZING LECTURES, SKIP CLASS? YOU WON'T PASS., GET READY TO READ, HILARIOUS, GRADED BY FEW THINGS, TOUGH GRADER, LECTURE HEAVY, TEST HEAVY, RESPECTED, PARTICIPATION MATTERS"
"NALL, CLAYTON",3.0,3.7,46,56%,https://www.ratemyprofessors.com/professor/2593661,Political Science,"GET READY TO READ, TOUGH GRADER, PARTICIPATION MATTERS, LOTS OF HOMEWORK, SO MANY PAPERS, GRADED BY FEW THINGS"
"LEW, JOHN",3.4,3.6,43,37%,https://www.ratemyprofessors.com/professor/587012,Biology,"TEST HEAVY, TOUGH GRADER, GRADED BY FEW THINGS, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, CLEAR GRADING CRITERIA"
"MILLNER, ANTONY",2.6,4.2,19,42%,https://www.ratemyprofessors.com/professor/2678607,Economics,"TEST HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, CLEAR GRADING CRITERIA, RESPECTED"
"MONTELL, DENISE",3.2,3.3,17,33%,https://www.ratemyprofessors.com/professor/1957168,Biology,"SKIP CLASS? YOU WON'T PASS., LECTURE HEAVY, TEST HEAVY, GET READY TO READ, AMAZING LECTURES, INSPIRATIONAL, HILARIOUS, ONLINE SAVVY, RESPECTED, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK"
"GRIGORIAN, KAREN",2.9,3.6,47,51%,https://www.ratemyprofessors.com/professor/2946937,Statistics,"PARTICIPATION MATTERS, LOTS OF HOMEWORK, TEST HEAVY, EXTRA CREDIT, LECTURE HEAVY"
"SALEM, LOAI",2.7,2.5,31,41%,https://www.ratemyprofessors.com/professor/2583635,Electrical & Comp. Engineering,"LOTS OF HOMEWORK, TEST HEAVY, TOUGH GRADER, EXTRA CREDIT, AMAZING LECTURES, HILARIOUS, GRADED BY FEW THINGS"
"MARTIN, CRYSTAL",3.0,4.2,26,45%,https://www.ratemyprofessors.com/professor/297697,Physics,"GET READY TO READ, TEST HEAVY, TOUGH GRADER, LOTS OF HOMEWORK, LECTURE HEAVY, AMAZING LECTURES, RESPECTED, GIVES GOOD FEEDBACK"
"CRAWLEY, ALAN",5.0,4.0,1,100%,https://www.ratemyprofessors.com/professor/3108217,Communication,"AMAZING LECTURES, CARING, TEST HEAVY"
"RODWELL, MARK",3.0,3.4,29,50%,https://www.ratemyprofessors.com/professor/568950,Engineering,"HILARIOUS, TOUGH GRADER, AMAZING LECTURES, LECTURE HEAVY, GROUP PROJECTS, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS"
"WALKER, FAYE",1.3,4.6,22,4%,https://www.ratemyprofessors.com/professor/3046802,Chemistry,"SO MANY PAPERS, LOTS OF HOMEWORK, TOUGH GRADER, GET READY TO READ, PARTICIPATION MATTERS"
"BIRCHENALL, JAVIER",2.5,3.7,116,36%,https://www.ratemyprofessors.com/professor/744241,Economics,"TEST HEAVY, TOUGH GRADER, GRADED BY FEW THINGS, GET READY TO READ, LECTURE HEAVY"
"FRIDLUND, ALAN",4.1,3.1,512,74%,https://www.ratemyprofessors.com/professor/855,Psychology,"GET READY TO READ, AMAZING LECTURES, HILARIOUS, TEST HEAVY, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, TOUGH GRADER, ACCESSIBLE OUTSIDE CLASS"
"SOMERVILLE, JASON",2.0,4.0,1,N/A,https://www.ratemyprofessors.com/professor/3160507,Economics,EXTRA CREDIT
"GAINER, MORGAN",3.4,4.1,161,62%,https://www.ratemyprofessors.com/professor/1845792,Chemistry,"TOUGH GRADER, LOTS OF HOMEWORK, SKIP CLASS? YOU WON'T PASS., GET READY TO READ, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, TEST HEAVY"
"ARMBRUSTER-SANDOVAL, RALPH",4.3,2.3,93,94%,https://www.ratemyprofessors.com/professor/1184167,Chicano Studies,"INSPIRATIONAL, GET READY TO READ, AMAZING LECTURES, CARING, RESPECTED, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS"
"DESCHENES, OLIVIER",4.1,3.6,60,83%,https://www.ratemyprofessors.com/professor/773936,Economics,"TEST HEAVY, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, CARING, HILARIOUS, LECTURE HEAVY, AMAZING LECTURES"
"RAYMOND, ELENA",3.3,2.8,53,64%,https://www.ratemyprofessors.com/professor/2198952,Sociology,"GROUP PROJECTS, GET READY TO READ, BEWARE OF POP QUIZZES, CARING, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, LECTURE HEAVY, AMAZING LECTURES"
"SCHOW, CLINT",2.6,4.3,22,36%,https://www.ratemyprofessors.com/professor/2387242,Electrical & Comp. Engineering,"TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, LOTS OF HOMEWORK, HILARIOUS, GRADED BY FEW THINGS"
"CHI, PETER",4.9,2.1,9,100%,https://www.ratemyprofessors.com/professor/3047655,Statistics,"AMAZING LECTURES, CARING, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, LECTURE HEAVY, ONLINE SAVVY, RESPECTED"
"MASON, ELINOR",4.3,2.7,3,66%,https://www.ratemyprofessors.com/professor/2823058,Philosophy,"AMAZING LECTURES, GRADED BY FEW THINGS, TOUGH GRADER, GET READY TO READ, CLEAR GRADING CRITERIA, RESPECTED, CARING"
"PIETRASZEWSKI, DAVID",5.0,1.0,1,100%,https://www.ratemyprofessors.com/professor/3075571,Psychology,"CARING, RESPECTED"
"GELLER, ROBERT",3.4,3.3,283,54%,https://www.ratemyprofessors.com/professor/73600,Physics,"LOTS OF HOMEWORK, TOUGH GRADER, AMAZING LECTURES, GET READY TO READ, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, GRADED BY FEW THINGS, TEST HEAVY"
"AFIFI, WALID",3.5,3.3,62,59%,https://www.ratemyprofessors.com/professor/933080,Communication,"TOUGH GRADER, CARING, TEST HEAVY, AMAZING LECTURES, INSPIRATIONAL, GET READY TO READ, LECTURE HEAVY, GRADED BY FEW THINGS, GIVES GOOD FEEDBACK, HILARIOUS"
"JARADA, MOHAMAD",3.5,4.0,2,50%,https://www.ratemyprofessors.com/professor/3108057,Anthropology,"GET READY TO READ, TOUGH GRADER, GIVES GOOD FEEDBACK, LOTS OF HOMEWORK, RESPECTED"
"HOELLE, JEFFREY",4.0,2.4,91,71%,https://www.ratemyprofessors.com/professor/1798681,Anthropology,"HILARIOUS, EXTRA CREDIT, GET READY TO READ, LECTURE HEAVY, GRADED BY FEW THINGS, SO MANY PAPERS, TOUGH GRADER"
"LIPSHUTZ, BRUCE",3.9,4.0,44,88%,https://www.ratemyprofessors.com/professor/360761,Chemistry,"HILARIOUS, SKIP CLASS? YOU WON'T PASS., AMAZING LECTURES, INSPIRATIONAL, CARING, TEST HEAVY, LECTURE HEAVY, GRADED BY FEW THINGS, RESPECTED"
"GIESBRECHT, BARRY",4.5,3.0,21,100%,https://www.ratemyprofessors.com/professor/485454,Psychology,"AMAZING LECTURES, RESPECTED, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., GRADED BY FEW THINGS, GIVES GOOD FEEDBACK, CARING, ACCESSIBLE OUTSIDE CLASS"
"KIM, LINA",2.2,3.1,16,27%,https://www.ratemyprofessors.com/professor/1476153,Engineering,"PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, RESPECTED, AMAZING LECTURES, CLEAR GRADING CRITERIA, LOTS OF HOMEWORK"
"YAN, MINGSONG",5.0,1.1,8,100%,https://www.ratemyprofessors.com/professor/3056734,Mathematics,"CLEAR GRADING CRITERIA, CARING, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, INSPIRATIONAL"
"PRICE, SCOTT",4.6,3.4,391,92%,https://www.ratemyprofessors.com/professor/1755841,Chemistry,"AMAZING LECTURES, RESPECTED, CARING, TEST HEAVY, SKIP CLASS? YOU WON'T PASS., HILARIOUS, ACCESSIBLE OUTSIDE CLASS, GIVES GOOD FEEDBACK, GRADED BY FEW THINGS"
"GARFIELD, PETER",3.8,2.8,251,78%,https://www.ratemyprofessors.com/professor/2184972,Mathematics,"LOTS OF HOMEWORK, CARING, ACCESSIBLE OUTSIDE CLASS, HILARIOUS, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA"
"KENNEDY, ROBERT (BOB)",4.1,2.5,180,84%,https://www.ratemyprofessors.com/professor/1148287,Linguistics,"CARING, RESPECTED, CLEAR GRADING CRITERIA, LECTURE HEAVY, HILARIOUS, GET READY TO READ, LOTS OF HOMEWORK, GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, AMAZING LECTURES"
"BARRETT, THOMAS",4.8,2.3,72,93%,https://www.ratemyprofessors.com/professor/2435150,Philosophy,"AMAZING LECTURES, HILARIOUS, CARING, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, CLEAR GRADING CRITERIA"
"PERRONE, GIULIANA",4.6,2.6,55,85%,https://www.ratemyprofessors.com/professor/2294553,History,"AMAZING LECTURES, GET READY TO READ, GRADED BY FEW THINGS, CARING, RESPECTED, INSPIRATIONAL, TEST HEAVY, TOUGH GRADER"
"PANDYA, SAMEER",4.4,2.6,54,88%,https://www.ratemyprofessors.com/professor/1252531,Ethnic Studies,"GET READY TO READ, AMAZING LECTURES, GRADED BY FEW THINGS, INSPIRATIONAL, LECTURE HEAVY, RESPECTED"
"MOKRISKI, DAVID",4.0,2.8,32,68%,https://www.ratemyprofessors.com/professor/2241164,Philosophy,"CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, TEST HEAVY, GIVES GOOD FEEDBACK, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, RESPECTED, AMAZING LECTURES"
"FRANK, DANIEL",4.9,2.3,24,95%,https://www.ratemyprofessors.com/professor/2464254,Writing,"GIVES GOOD FEEDBACK, CARING, PARTICIPATION MATTERS, AMAZING LECTURES, RESPECTED, LECTURE HEAVY, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, SO MANY PAPERS, ONLINE SAVVY, GET READY TO READ"
