instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"DUAN, JUNTAO",2.0,4.2,5,N/A,https://www.ratemyprofessors.com/professor/3101508,Statistics,"TEST HEAVY, LECTURE HEAVY, GRADED BY FEW THINGS"
"CORTIJO, ANTONIO",3.7,2.6,20,100%,https://www.ratemyprofessors.com/professor/13637,Literature,"PARTICIPATION MATTERS, TESTS? NOT MANY, WOULD TAKE AGAIN, AMAZING LECTURES, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, HILARIOUS, GRADED BY FEW THINGS, CARING, RESPECTED"
"KAM, JENNIFER",3.9,2.9,17,64%,https://www.ratemyprofessors.com/professor/2163740,Communication,"GRADED BY FEW THINGS, CARING, CLEAR GRADING CRITERIA, TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, GROUP PROJECTS"
"SEN, PRADEEP",3.3,3.9,17,54%,https://www.ratemyprofessors.com/professor/1906513,Electrical & Comp. Engineering,"LOTS OF HOMEWORK, SKIP CLASS? YOU WON'T PASS., AMAZING LECTURES, TOUGH GRADER, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, SO MANY PAPERS, LECTURE HEAVY, TEST HEAVY"
"VLCEK, VOJTECH",2.6,4.0,8,50%,https://www.ratemyprofessors.com/professor/2633497,Chemistry,"LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, CLEAR GRADING CRITERIA, INSPIRATIONAL, GRADED BY FEW THINGS, TEST HEAVY"
"NOWICKI , SHAUN",4.5,2.8,4,100%,https://www.ratemyprofessors.com/professor/3015467,English,"GET READY TO READ, EXTRA CREDIT, AMAZING LECTURES, CARING, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, SO MANY PAPERS"
"DE ALMEIDA, ALINE",4.0,3.0,2,100%,https://www.ratemyprofessors.com/professor/2808730,Spanish & Portuguese,"GET READY TO READ, GIVES GOOD FEEDBACK, INSPIRATIONAL, HILARIOUS, CARING"
"FOGU, CLAUDIO",3.5,3.3,56,51%,https://www.ratemyprofessors.com/professor/821758,Languages,"LECTURE HEAVY, GET READY TO READ, GRADED BY FEW THINGS, TOUGH GRADER, SKIP CLASS? YOU WON'T PASS., INSPIRATIONAL"
"SLADE, ALLISON",2.8,3.5,35,31%,https://www.ratemyprofessors.com/professor/2290687,Exercise & Sport Studies,"GET READY TO READ, LOTS OF HOMEWORK, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., LECTURE HEAVY, TOUGH GRADER, SO MANY PAPERS, TEST HEAVY"
"LUPI, JUAN PABLO",3.9,3.3,24,77%,https://www.ratemyprofessors.com/professor/1114279,Languages,"GET READY TO READ, CARING, TOUGH GRADER, AMAZING LECTURES, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, GRADED BY FEW THINGS, SO MANY PAPERS"
"OAKLEY, TODD",3.3,3.0,23,50%,https://www.ratemyprofessors.com/professor/592505,Biology,"TOUGH GRADER, LECTURE HEAVY, WOULD TAKE AGAIN, HILARIOUS, TEST HEAVY, CLEAR GRADING CRITERIA"
"HILLIS, GREG",4.1,2.1,129,76%,https://www.ratemyprofessors.com/professor/751172,Religion,"HILARIOUS, GET READY TO READ, CARING, LECTURE HEAVY, AMAZING LECTURES, GRADED BY FEW THINGS, RESPECTED, TEST HEAVY"
"BLANKHOLM, JOSEPH",4.6,3.3,53,90%,https://www.ratemyprofessors.com/professor/2182035,Religious Studies,"GET READY TO READ, AMAZING LECTURES, RESPECTED, LECTURE HEAVY, SKIP CLASS? YOU WON'T PASS., EXTRA CREDIT, CARING"
"FREEMAN, LAURIE",2.4,2.7,39,37%,https://www.ratemyprofessors.com/professor/678346,Political Science,"GET READY TO READ, CARING, LECTURE HEAVY, TEST HEAVY, CLEAR GRADING CRITERIA, TOUGH GRADER"
"SUNG, BENJAMIN",2.0,3.6,35,17%,https://www.ratemyprofessors.com/professor/2826527,Mathematics,"LECTURE HEAVY, GRADED BY FEW THINGS, TEST HEAVY, GET READY TO READ, LOTS OF HOMEWORK, ACCESSIBLE OUTSIDE CLASS"
"MIGLIO, VIOLA",4.2,2.3,19,100%,https://www.ratemyprofessors.com/professor/480533,Languages,"PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, CARING, GET READY TO READ, GROUP PROJECTS, RESPECTED, GIVES GOOD FEEDBACK, GRADED BY FEW THINGS"
"ACKERT, LIZ",4.7,2.8,17,100%,https://www.ratemyprofessors.com/professor/2558388,Geography,"CLEAR GRADING CRITERIA, AMAZING LECTURES, CARING, LECTURE HEAVY, RESPECTED, TEST HEAVY, ONLINE SAVVY, INSPIRATIONAL"
"KING, JENNIFER",4.8,2.8,15,87%,https://www.ratemyprofessors.com/professor/1297121,Geography,"CARING, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., AMAZING LECTURES, EXTRA CREDIT, CLEAR GRADING CRITERIA, GROUP PROJECTS, GIVES GOOD FEEDBACK"
"BELTZ, ERIC",4.7,3.7,15,100%,https://www.ratemyprofessors.com/professor/914510,Fine Arts,"GIVES GOOD FEEDBACK, AMAZING LECTURES, INSPIRATIONAL, TOUGH GRADER, LOTS OF HOMEWORK, ACCESSIBLE OUTSIDE CLASS"
"YE, RUGANG",1.8,3.1,7,33%,https://www.ratemyprofessors.com/professor/2107437,Mathematics,"TOUGH GRADER, GET READY TO READ, TEST HEAVY, LOTS OF HOMEWORK, SO MANY PAPERS, GRADED BY FEW THINGS"
"SEYFERT, ANDRÉAS-BENJAMIN",5.0,1.8,4,100%,https://www.ratemyprofessors.com/professor/2995736,Germanic & Russian Studies,"HILARIOUS, PARTICIPATION MATTERS, GROUP PROJECTS, AMAZING LECTURES, INSPIRATIONAL, LOTS OF HOMEWORK, CARING, ACCESSIBLE OUTSIDE CLASS"
"PONCE, GUSTAVO",2.5,3.3,109,30%,https://www.ratemyprofessors.com/professor/215272,Mathematics,"TOUGH GRADER, GRADED BY FEW THINGS, LOTS OF HOMEWORK, TEST HEAVY, CARING"
"SPENCER, MEGAN",5.0,1.2,5,100%,https://www.ratemyprofessors.com/professor/2716934,Feminist Studies,"CLEAR GRADING CRITERIA, CARING, GET READY TO READ, AMAZING LECTURES"
"CARLINI, ANDREA",2.8,3.5,4,50%,https://www.ratemyprofessors.com/professor/2988223,Chemistry,"TEST HEAVY, EXTRA CREDIT, LOTS OF HOMEWORK, TOUGH GRADER, PARTICIPATION MATTERS, ACCESSIBLE OUTSIDE CLASS, CLEAR GRADING CRITERIA"
"MILLER, LINDSAY",5.0,2.0,1,100%,https://www.ratemyprofessors.com/professor/3107715,Communication,"GROUP PROJECTS, CARING, GRADED BY FEW THINGS"
